X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y1,Y2,Y3,Y4,Y5
3192,0,77,906,5,916.3,871.9,766.7,650.5,521.3,6.91,15.3,111.7814053,261.8878637,30
3194,0,77,906,5,915.8,871.9,766.7,651.5,521.3,6.98,15.4,111.2696148,263.1954351,30
3196,0,77,906,5,915.5,871.9,766.7,651.5,522,7.08,15.4,110.9913793,265.0862069,30
3198,0,77,906,5,915.5,865.7,766.6,651.5,522,7.21,15.4,110.9499637,267.5852067,30
3200,0,77,906,5,915.4,865.7,766.6,651.3,522,7.27,15.4,112.5273125,268.7545521,30
3202,0,77,906,5,915.5,865.7,766.6,651.3,521,7.27,15.3,113.6198106,268.7545521,30
3204,0,77,906,5,915.8,860.7,765.7,651.3,521,7.21,15.3,120.7396664,267.5852067,30
3206,0,77,906,5,915.5,860.7,765.7,652.5,521,7.19,15.2,128.1679942,267.1976828,30
3208,0,77,906,5,915.3,860.7,765.7,652.5,522,7.2,15.2,134.7826087,267.3913043,29
3210,0,77,906,5,915.3,864.7,764.3,652.5,522,7.2,15.2,136.9565217,267.3913043,29
3212,0,77,906,5,915.2,864.7,764.3,652.5,522,7.22,15.1,139.3323657,268.8679245,29
3214,0,77,906,5,915.1,864.7,764.3,652.5,522,7.27,15.1,136.5622724,269.8470503,29
3216,0,77,906,5,915,866.8,764.3,652.5,522,7.34,15,131.7715959,271.2298682,29
3218,0,77,906,5,915,866.8,764.4,652.5,522,7.38,15,129.9559471,272.0264317,29
3220,0,77,906,5,915.1,866.8,764.4,652.5,523.8,7.43,15,123.8025055,273.0287399,30
3222,0,77,906,5,914.9,863.6,764.4,652.5,523.8,7.33,15,115.215801,271.0314557,30
3224,0,77,906,5,914.6,863.6,761.7,651.5,523.8,7.21,15,110.9499637,268.6729514,30
3226,0,77,906,5,914.3,863.6,761.7,651.5,523.8,7.21,15,108.7744743,268.6729514,30
3228,0,77,906,5,914.4,871.9,761.7,651.5,523.8,7.36,15,111.0703812,270.5278592,30
3230,0,77,906,5,914.5,871.9,765.2,648.9,523.8,7.56,15,113.8392857,274.5535714,30
3232,0,77,906,5,914.6,871.9,765.2,648.9,522.2,7.69,14.9,116.0781367,277.2351615,30
3234,0,77,906,5,914.7,869.9,765.2,648.9,522.2,7.71,14.9,116.2528217,277.6523702,30
3236,0,77,906,5,915.1,869.9,765.4,648.9,522.2,7.7,14.9,115.037594,277.443609,30
3238,0,77,906,5,915.7,869.9,765.4,651.1,522.4,7.71,14.8,115.1241535,277.6523702,30
3240,0,77,906,5,916,869.9,765.4,651.1,522.4,7.81,14.7,114.8597422,279.757392,30
3242,0,77,906,5,915.8,869.9,762.7,651.1,522.4,7.93,14.7,115.9143076,282.3259373,29
3244,0,77,906,5,915.6,869.9,762.7,650,522.5,7.98,14.6,115.2073733,283.4101382,29
3246,0,77,906,5,915.2,866.8,762.7,650,522.5,7.93,14.6,113.6189748,282.3259373,29
3248,0,77,906,5,914.6,866.8,765.8,650,522.5,7.85,14.5,111.7870722,280.608365,29
3250,0,77,906,5,914.6,866.8,765.8,651,522.6,7.88,14.4,109.7560976,281.25,30
3252,0,77,906,5,914.3,859.1,765.8,651,522.6,7.97,14.4,109.3630084,283.1926324,30
3254,0,77,906,5,914.1,859.1,763.8,651,522.6,8.03,14.3,109.8689283,284.5026985,30
3256,0,77,906,5,913.8,859.1,763.8,651,522.5,8.03,14.3,109.8689283,284.5026985,30
3258,0,77,906,5,913.8,865.7,763.8,651,522.5,8.05,14.2,107.7220077,284.9420849,30
3260,0,77,906,5,913.9,865.7,766.8,651,522.5,8.16,14.2,107.4766355,287.3831776,30
